Uint8_F_0,Uint8_F_1,Uint8_F_2,Uint8_F_3,Uint8_F_4,Uint8_F_5,Uint8_F_6
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08780603,0.12526593,0.06658576,0.11239547,0.10224513,-0.00918462,-0.00596963
0.22569005,0.26645848,0.28972894,0.2816611,0.14937405,0.03026318,0.07025693
0.32044902,0.31602746,0.45426288,0.36396453,0.12799765,0.04259803,0.07538037
0.3845033,0.34313968,0.61078817,0.457316,0.14601228,0.05353716,0.05811036
0.45374116,0.37772006,0.79891396,0.5799539,0.19479083,0.05783335,0.03640864
0.5148453,0.41109076,0.9865814,0.69930047,0.21668963,0.0092811,-0.00250365
0.5433848,0.4001177,1.104476,0.7747313,0.17991973,-0.09849529,-0.07428923
0.5751549,0.3781674,1.2090495,0.8091685,0.1378537,-0.05419911,-0.06782107
0.6719264,0.42630073,1.3588957,0.8933613,0.1617249,0.09249424,0.01699279
0.7812835,0.48013657,1.5051422,1.0003762,0.18004929,0.16434678,0.07050283
0.9036169,0.5554023,1.6618713,1.1133204,0.22273806,0.22658557,0.11048476
0.914302,0.55267805,1.7409492,1.1529839,0.22180805,0.25185865,0.14325723
0.974479,0.5603229,1.8357844,1.2041705,0.22672445,0.26065668,0.19049075
1.119468,0.6432591,1.9770108,1.3006551,0.26243642,0.29298308,0.16148415
1.359059,0.7883254,2.227392,1.4719294,0.37925756,0.33765426,0.15077835
1.6049575,0.96837646,2.4716396,1.6460282,0.53095496,0.34110594,0.14477438
1.7916032,1.1588025,2.6364703,1.7853249,0.63423526,0.32676935,0.06533031
1.8419275,1.2021681,2.713704,1.8175548,0.6007704,0.21139835,-0.05135735
1.7512994,1.0771387,2.667335,1.6951886,0.49875352,0.08160213,-0.14133953
1.6578298,0.97966796,2.56514,1.5951973,0.46809813,0.07773937,-0.12990429
1.7011175,1.0521286,2.5677507,1.649166,0.52656895,0.11565219,-0.05333547
1.6887623,1.0905663,2.58926,1.6864322,0.53244406,0.09760956,-0.0364289
1.7304293,1.1461105,2.6806502,1.7673703,0.5675107,0.09624854,0.00441699
1.7944388,1.2044985,2.7885902,1.8623083,0.6053897,0.138634,0.04056729
1.8788675,1.2731237,2.9008162,1.9642742,0.6281846,0.23862916,0.07774734
1.9033184,1.3025578,2.9531064,2.0250256,0.6414221,0.27474168,0.07089644
1.7915034,1.2056607,2.9024043,1.9700263,0.5579172,0.27936512,0.06665539
1.76191,1.1746707,2.9282463,1.9717847,0.54060966,0.34176505,0.10260515
1.736002,1.1422606,2.966887,1.9954231,0.53066736,0.3353418,0.11870406
1.8354793,1.207467,3.116598,2.0984561,0.5918594,0.34802535,0.18306027
2.0502598,1.372551,3.2994144,2.2485828,0.7194705,0.412427,0.25412938
2.1036468,1.424266,3.339996,2.2902935,0.7291921,0.41785246,0.23628438
2.0626988,1.3908222,3.3319,2.2673562,0.6709624,0.38228497,0.1865107
2.0807343,1.3969437,3.3852315,2.304841,0.6816541,0.4062445,0.21763027
2.0878127,1.3934878,3.4470174,2.325073,0.68608284,0.44263127,0.24801594
2.0653002,1.3197964,3.421605,2.2355387,0.6457032,0.45501965,0.24683882
2.1340358,1.3393961,3.3797882,2.2025232,0.7035258,0.44846842,0.27757642
